Kabupaten/Kota,IKAN,Ekor kuning,"Tongkol, tuna, cakalang, dencis, ikan kayu",Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung, lema/tatare, banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas, nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan segar/basah lainnya,"Udang, lobster","Cumi-cumi, sotong, gurita","Ketam, kepiting, rajungan","Kerang, siput, bekicot, remis",Udang dan hewan air lainnya yang segar lainnya,Kembung diawetkan/peda,Tenggiri diawetkan,Tongkol/tuna/cakalang diawetkan,Teri diawetkan,Selar diawetkan,Sepat diawetkan,Bandeng diawetkan,Gabus diawetkan,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",Ikan diawetkan lainnya,"Udang diawetkan (ebi, rebon)","Cumi-cumi, sotong, gurita diawetkan",ang dan hewan air lainnya yang diawetkan
Batu Bara,17758,72,-,1685,41,532,82,368,5921,124,-,547,88,-,128,1066,327,16,-,37,56,41,1746,1307,469,213,546,179,124,19,-,1221,62,-,3,5,42,430,111,132,18
Padang Lawas Utara,18029,22,-,1233,80,1236,3,18,719,40,46,159,19,-,3403,1267,1738,48,5,486,59,-,529,525,262,0,145,62,185,58,380,3257,26,24,15,44,147,830,880,3,76
Padang Lawas,18057,82,-,1261,135,1378,6,170,459,17,-,262,107,-,3519,1104,2472,17,-,527,-,2,896,391,434,13,57,37,71,51,610,2132,35,1,2,191,661,332,561,28,34
Labuhan Batu Selatan,17049,6,-,718,53,1104,0,75,2564,142,-,848,82,-,962,2182,1280,63,34,682,24,23,679,359,266,8,342,40,430,72,51,2439,210,21,6,7,144,462,568,24,79
Labuhan Batu Utara,20397,58,-,1285,5,1212,21,164,3352,30,39,1557,179,-,616,2643,1411,41,-,381,18,123,981,1030,266,120,564,242,382,34,202,2039,376,33,-,-,161,101,645,41,47
Nias Utara,12720,638,-,5030,106,668,298,768,945,290,-,21,-,-,10,86,382,258,85,11,32,23,227,2,165,16,-,-,29,21,195,591,224,-,4,-,10,1581,-,-,2
Nias Barat,9350,34,-,2530,101,330,191,263,565,20,54,37,13,-,-,64,194,257,-,-,33,-,72,113,12,3,1,5,56,16,468,1107,24,-,-,-,110,2624,33,-,19
Kota Sibolga,20388,267,-,4177,166,2630,112,923,3536,463,5,26,104,-,139,221,389,439,907,-,125,4,2145,885,1312,88,-,18,37,32,38,831,6,14,12,-,34,232,15,43,13
Kota Tanjung Balai,21827,122,-,3302,22,1071,271,662,4818,32,26,188,10,-,407,778,398,17,-,29,824,87,2481,1673,784,452,1075,112,47,38,4,1375,206,5,-,-,57,214,175,66,1
Kota Pematang Siantar,20742,38,-,1607,88,2646,14,56,2131,49,-,243,784,-,443,3157,1651,93,-,303,200,9,548,1150,237,103,269,97,877,56,25,3340,19,5,-,12,19,291,125,23,34
